,created_at,expiry_date,user_id,course_name,course_id,percentage_completed,completed_at,expired,is_free_trial,completed,started_at,activated_at,updated_at,quest_id
0,2020-12-12T06:41:29.844Z,,29816173,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2020-12-12T06:41:29.844Z,
1,2020-12-13T14:41:17.720Z,,35229766,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2020-12-13T14:41:17.720Z,
2,2020-12-15T00:53:06.499Z,,31987560,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2020-12-15T00:53:06.499Z,
3,2020-12-18T18:38:55.683Z,,35616451,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2020-12-18T18:38:55.683Z,
4,2020-12-21T14:45:06.528Z,,35390649,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2020-12-21T14:45:06.528Z,
5,2020-12-22T16:47:26.199Z,,35821412,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2020-12-22T16:47:26.199Z,
6,2021-01-04T22:18:38.182Z,,35738528,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-03-02T19:14:51.231Z,,2021-03-02T19:14:58.369Z,
7,2021-01-05T04:00:45.795Z,,34856150,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,FALSE,FALSE,2021-03-01T06:56:33.704Z,2021-01-05T04:00:45.775Z,2021-03-01T06:56:33.709Z,
8,2021-01-10T01:21:21.563Z,,37252649,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2021-01-10T01:21:21.563Z,
9,2021-01-26T04:16:38.716Z,,38404915,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2021-01-26T04:16:38.716Z,905fab9d-ce95-11eb-a1ed-7c67a234f601
10,2021-01-27T23:57:34.943Z,,38527747,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2021-01-27T23:57:34.943Z,
11,2021-01-28T02:43:47.014Z,,38534399,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2021-01-28T02:43:47.014Z,
12,2021-01-31T15:13:40.159Z,,38762994,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2021-01-31T15:13:40.159Z,
13,2021-02-04T22:48:10.874Z,2071-02-10T17:12:36.000Z,39064047,Entwodiksyon Nan Syans Done,1047613,0.930232558,,FALSE,FALSE,FALSE,2021-02-22T17:14:33.921Z,2021-02-22T17:12:26.000Z,2021-03-14T16:26:49.026Z,90628fc0-ce95-11eb-8dae-7c67a234f601
14,2021-02-05T20:03:10.285Z,,39100195,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-23T06:25:32.712Z,,2021-03-03T21:50:16.885Z,
15,2021-02-06T16:42:07.850Z,,39158085,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,,,2021-02-06T16:42:07.850Z,
16,2021-02-07T04:16:04.381Z,2071-01-31T22:11:38.000Z,39181155,Entwodiksyon Nan Syans Done,1047613,0.697674419,,FALSE,FALSE,FALSE,2021-02-16T20:07:53.126Z,2021-02-12T22:11:35.000Z,2021-03-14T17:27:11.958Z,9061d753-ce95-11eb-967a-7c67a234f601
17,2021-02-14T23:15:19.500Z,,39726355,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-17T08:43:53.457Z,,2021-02-17T08:44:09.561Z,905dc006-ce95-11eb-b2f9-7c67a234f601
18,2021-02-16T15:55:20.037Z,,39839300,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-16T15:55:20.403Z,,2021-02-16T15:55:25.241Z,906636d0-ce95-11eb-9875-7c67a234f601
19,2021-02-16T16:49:01.425Z,,39842827,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-16T16:49:01.905Z,,2021-03-03T21:50:17.219Z,9066abb6-ce95-11eb-b526-7c67a234f601
20,2021-02-16T17:18:51.956Z,2071-02-04T17:18:55.000Z,39844839,Entwodiksyon Nan Syans Done,1047613,0.534883721,,FALSE,FALSE,FALSE,2021-02-16T17:19:30.928Z,2021-02-16T17:18:51.000Z,2021-03-14T16:28:24.203Z,90628fbf-ce95-11eb-819c-7c67a234f601
21,2021-02-16T17:51:35.464Z,2071-02-04T17:51:42.000Z,39845142,Entwodiksyon Nan Syans Done,1047613,0.418604651,,FALSE,FALSE,FALSE,2021-02-16T17:52:59.026Z,2021-02-16T17:51:35.000Z,2021-03-05T23:36:41.823Z,90628a02-ce95-11eb-9291-7c67a234f601
22,2021-02-16T18:39:34.399Z,2071-02-09T19:46:42.000Z,39850932,Entwodiksyon Nan Syans Done,1047613,0.953488372,,FALSE,FALSE,FALSE,2021-02-16T18:39:34.861Z,2021-02-21T19:46:22.000Z,2021-03-09T14:25:41.451Z,9067957b-ce95-11eb-a3f9-7c67a234f601
23,2021-02-16T20:09:37.007Z,,39856539,Entwodiksyon Nan Syans Done,1047613,0.302325581,,FALSE,FALSE,FALSE,2021-02-16T20:16:38.923Z,2021-02-16T20:09:36.974Z,2021-03-09T22:43:51.040Z,9069789f-ce95-11eb-9788-7c67a234f601
24,2021-02-16T20:16:35.911Z,,39857484,Entwodiksyon Nan Syans Done,1047613,0.452380952,,FALSE,FALSE,FALSE,2021-02-16T20:16:36.279Z,2021-02-22T19:16:40.434Z,2021-03-03T21:50:17.810Z,905ec1ec-ce95-11eb-8136-7c67a234f601
25,2021-02-16T21:13:48.783Z,,39860970,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-16T21:13:49.195Z,,2021-03-03T21:50:17.872Z,90691afd-ce95-11eb-b77d-7c67a234f601
26,2021-02-16T21:20:39.296Z,,39861467,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-16T21:20:39.657Z,,2021-02-16T21:20:45.288Z,
27,2021-02-16T21:29:47.980Z,2071-02-10T17:33:45.000Z,39861802,Entwodiksyon Nan Syans Done,1047613,0.906976744,,FALSE,FALSE,FALSE,2021-02-16T21:29:48.545Z,2021-02-22T17:29:44.000Z,2021-03-09T14:03:04.673Z,9062b755-ce95-11eb-85a2-7c67a234f601
28,2021-02-17T03:19:47.548Z,,39878444,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-17T03:19:48.069Z,,2021-02-17T03:22:32.487Z,90691afe-ce95-11eb-bc64-7c67a234f601
29,2021-02-17T07:06:55.943Z,,39887288,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-17T07:06:56.362Z,,2021-03-03T21:50:18.062Z,9067957c-ce95-11eb-9346-7c67a234f601
30,2021-02-17T08:16:36.072Z,,39889898,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T08:16:36.721Z,,2021-03-03T21:50:18.114Z,9067957d-ce95-11eb-82b5-7c67a234f601
31,2021-02-17T09:11:52.453Z,,39891948,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T09:11:52.936Z,,2021-03-03T21:50:18.182Z,90632b9f-ce95-11eb-bb7f-7c67a234f601
32,2021-02-17T10:58:44.017Z,,39896120,Entwodiksyon Nan Syans Done,1047613,0.238095238,,FALSE,FALSE,FALSE,2021-02-17T10:58:44.369Z,2021-02-17T11:08:54.459Z,2021-03-03T21:50:18.253Z,9062b754-ce95-11eb-b31e-7c67a234f601
33,2021-02-17T11:57:37.102Z,,39898649,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-17T11:57:37.456Z,,2021-02-17T11:57:45.410Z,90632ba0-ce95-11eb-b7c2-7c67a234f601
34,2021-02-17T12:25:08.308Z,,39899485,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T12:25:08.579Z,,2021-03-03T21:50:18.343Z,905f36ca-ce95-11eb-9411-7c67a234f601
35,2021-02-17T13:13:12.166Z,,39901794,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T13:13:12.702Z,,2021-03-03T21:50:18.387Z,9063a260-ce95-11eb-87e8-7c67a234f601
36,2021-02-17T13:48:42.854Z,,39903501,Entwodiksyon Nan Syans Done,1047613,0.047619048,,FALSE,FALSE,FALSE,2021-02-17T13:49:12.048Z,2021-02-17T13:48:42.838Z,2021-03-03T21:50:18.422Z,
37,2021-02-17T15:14:40.939Z,,39908510,Entwodiksyon Nan Syans Done,1047613,0.833333333,,FALSE,FALSE,FALSE,2021-02-17T15:14:43.462Z,2021-02-18T14:45:07.536Z,2021-03-03T21:50:18.489Z,905f5dc1-ce95-11eb-bfa7-7c67a234f601
38,2021-02-17T22:54:01.044Z,,39937209,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-17T22:54:01.469Z,,2021-03-03T21:50:18.548Z,9067bc87-ce95-11eb-977f-7c67a234f601
39,2021-02-18T00:23:02.499Z,,39941205,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-18T00:23:02.864Z,,2021-03-03T21:50:18.613Z,
40,2021-02-18T02:53:51.024Z,,39946940,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-18T02:53:51.348Z,,2021-03-03T21:50:18.664Z,9063ee78-ce95-11eb-a8d6-7c67a234f601
41,2021-02-18T05:29:55.849Z,,39952207,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-18T05:29:56.152Z,,2021-02-18T05:29:59.964Z,90643c59-ce95-11eb-aec2-7c67a234f601
42,2021-02-18T12:41:11.310Z,,39968123,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-18T12:41:11.897Z,,2021-02-18T12:41:27.977Z,905fd65b-ce95-11eb-b835-7c67a234f601
43,2021-02-18T13:46:19.814Z,,39971217,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-18T13:46:20.423Z,,2021-03-03T21:50:18.824Z,90646354-ce95-11eb-a5c9-7c67a234f601
44,2021-02-18T13:59:40.515Z,2071-02-06T14:04:54.000Z,39971926,Entwodiksyon Nan Syans Done,1047613,0.813953488,,FALSE,FALSE,FALSE,2021-02-18T13:59:41.054Z,2021-02-18T14:04:47.000Z,2021-03-09T14:03:59.063Z,90665dbd-ce95-11eb-bcc1-7c67a234f601
45,2021-02-18T15:21:09.315Z,2071-02-06T15:21:44.000Z,39976529,Entwodiksyon Nan Syans Done,1047613,0.619047619,,FALSE,FALSE,FALSE,2021-02-18T15:24:16.590Z,2021-02-18T15:21:09.000Z,2021-03-03T21:50:19.023Z,9064923a-ce95-11eb-a2ad-7c67a234f601
46,2021-02-18T15:59:18.215Z,,39979118,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-18T15:59:18.587Z,,2021-02-18T16:00:17.379Z,9066fab1-ce95-11eb-a4e2-7c67a234f601
47,2021-02-18T16:09:56.118Z,,39979758,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-18T16:09:56.712Z,,2021-02-18T16:10:03.033Z,
48,2021-02-18T16:15:28.758Z,2071-02-12T15:38:37.000Z,39980083,Entwodiksyon Nan Syans Done,1047613,0.511627907,,FALSE,FALSE,FALSE,2021-02-18T16:15:29.081Z,2021-02-24T15:38:33.000Z,2021-03-12T23:46:28.978Z,90665dc0-ce95-11eb-926f-7c67a234f601
49,2021-02-18T16:59:56.689Z,,39983106,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-18T16:59:57.195Z,,2021-02-18T17:00:14.438Z,9069ddd6-ce95-11eb-988c-7c67a234f601
50,2021-02-18T19:22:10.715Z,2071-02-06T22:06:59.000Z,39992231,Entwodiksyon Nan Syans Done,1047613,0.860465116,,FALSE,FALSE,FALSE,2021-02-18T19:22:11.086Z,2021-02-18T22:06:50.000Z,2021-03-14T01:26:27.361Z,90642613-ce95-11eb-8b26-7c67a234f601
51,2021-02-18T22:20:39.620Z,,40002531,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-18T22:20:40.069Z,,2021-03-03T21:50:19.669Z,905f5dbf-ce95-11eb-a1fb-7c67a234f601
52,2021-02-19T00:47:03.092Z,2071-02-07T00:47:02.000Z,40009010,Entwodiksyon Nan Syans Done,1047613,0.953488372,,FALSE,FALSE,FALSE,2021-02-19T00:49:12.028Z,2021-02-19T00:47:02.000Z,2021-03-09T13:51:24.916Z,90668798-ce95-11eb-86fc-7c67a234f601
53,2021-02-19T02:33:12.145Z,,39881538,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T02:33:12.624Z,,2021-03-03T21:50:19.877Z,905f36c8-ce95-11eb-bef0-7c67a234f601
54,2021-02-19T03:29:02.686Z,,40015922,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-19T03:29:03.144Z,,2021-02-19T03:30:18.308Z,9064c427-ce95-11eb-9d48-7c67a234f601
55,2021-02-19T04:57:13.593Z,,40018986,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T04:57:13.887Z,,2021-03-03T21:50:20.077Z,905ff980-ce95-11eb-98b7-7c67a234f601
56,2021-02-19T09:03:02.014Z,,40027250,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-19T09:03:02.424Z,,2021-02-19T09:03:08.781Z,
57,2021-02-19T12:36:58.565Z,2071-02-11T15:55:15.000Z,39938142,Entwodiksyon Nan Syans Done,1047613,0.452380952,,FALSE,FALSE,FALSE,2021-02-19T12:36:58.922Z,2021-02-23T15:55:15.000Z,2021-03-09T01:32:29.052Z,
58,2021-02-19T13:38:47.624Z,2071-02-08T12:25:36.000Z,39997346,Entwodiksyon Nan Syans Done,1047613,0.523809524,,FALSE,FALSE,FALSE,2021-02-19T13:38:47.915Z,2021-02-20T12:25:23.000Z,2021-03-03T21:50:20.646Z,9061a61d-ce95-11eb-a939-7c67a234f601
59,2021-02-19T13:47:49.359Z,,40042187,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T13:47:49.970Z,,2021-03-03T21:50:20.899Z,90672095-ce95-11eb-a84d-7c67a234f601
60,2021-02-19T14:13:37.258Z,,40043087,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-19T14:13:37.576Z,,2021-02-19T14:13:41.938Z,9067e4bf-ce95-11eb-afb1-7c67a234f601
61,2021-02-19T15:14:32.842Z,,40046744,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T15:14:33.453Z,,2021-03-03T21:50:21.116Z,90602078-ce95-11eb-bc1d-7c67a234f601
62,2021-02-19T17:43:32.127Z,,40056009,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T17:43:32.563Z,,2021-03-03T21:50:21.431Z,
63,2021-02-19T19:21:26.044Z,,40061983,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T19:21:26.379Z,,2021-03-03T21:50:21.784Z,
64,2021-02-19T20:50:52.408Z,,40066775,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T20:50:52.825Z,,2021-03-03T21:50:21.858Z,9060477d-ce95-11eb-ab2e-7c67a234f601
65,2021-02-19T21:19:39.035Z,,40068021,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-19T21:19:39.319Z,,2021-03-03T21:50:21.934Z,90698fea-ce95-11eb-ae89-7c67a234f601
66,2021-02-20T00:58:42.295Z,,40077328,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-20T00:58:42.619Z,,2021-03-03T21:50:22.005Z,
67,2021-02-20T21:20:37.450Z,2071-02-19T23:00:15.000Z,40117659,Entwodiksyon Nan Syans Done,1047613,0.325581395,,FALSE,FALSE,FALSE,2021-02-20T21:20:37.814Z,2021-03-03T23:00:11.000Z,2021-03-09T13:57:49.729Z,905e2608-ce95-11eb-809f-7c67a234f601
68,2021-02-20T22:56:24.115Z,2071-02-08T22:56:58.000Z,40120992,Entwodiksyon Nan Syans Done,1047613,0.953488372,,FALSE,FALSE,FALSE,2021-02-22T20:54:38.135Z,2021-02-20T22:56:24.000Z,2021-03-11T23:19:55.040Z,9066d2ab-ce95-11eb-be67-7c67a234f601
69,2021-02-20T22:59:52.740Z,,40121178,Entwodiksyon Nan Syans Done,1047613,0.279069767,,FALSE,FALSE,FALSE,2021-02-20T23:00:13.971Z,2021-02-20T22:59:52.724Z,2021-03-12T19:23:33.022Z,
70,2021-02-21T00:53:42.441Z,,40124305,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-21T00:53:42.888Z,,2021-03-03T21:50:22.269Z,906a52b6-ce95-11eb-935f-7c67a234f601
71,2021-02-21T01:08:59.590Z,2071-02-12T14:54:23.000Z,40124696,Entwodiksyon Nan Syans Done,1047613,0.348837209,,FALSE,FALSE,FALSE,2021-02-21T01:09:00.059Z,2021-02-24T14:54:21.000Z,2021-03-14T16:28:48.304Z,90680a6a-ce95-11eb-bf44-7c67a234f601
72,2021-02-21T01:27:45.797Z,,40125135,Entwodiksyon Nan Syans Done,1047613,0,,FALSE,TRUE,FALSE,2021-02-21T01:27:46.859Z,,2021-02-21T01:29:01.282Z,90680a6b-ce95-11eb-ad05-7c67a234f601
73,2021-02-21T06:03:46.436Z,2071-02-09T06:08:15.000Z,40132216,Entwodiksyon Nan Syans Done,1047613,0.534883721,,FALSE,FALSE,FALSE,2021-02-21T06:15:54.935Z,2021-02-21T06:03:46.000Z,2021-03-14T04:28:47.351Z,906a04c8-ce95-11eb-b468-7c67a234f601
74,2021-02-21T12:41:32.008Z,,40143019,Entwodiksyon Nan Syans Done,1047613,0.023809524,,FALSE,TRUE,FALSE,2021-02-21T12:41:32.521Z,,2021-03-03T21:50:22.794Z,906a79ae-ce95-11eb-98c3-7c67a234f601
75,2021-02-21T15:55:59.494Z,2071-02-09T15:56:07.000Z,40060952,Entwodiksyon Nan Syans Done,1047613,0.906976744,,FALSE,FALSE,FALSE,2021-02-21T15:56:35.652Z,2021-02-21T15:55:59.000Z,2021-03-11T17:57:53.832Z,90643c5a-ce95-11eb-b510-7c67a234f601
76,2021-02-21T16:00:54.938Z,2071-02-09T16:00:56.000Z,40061075,Entwodiksyon Nan Syans Done,1047613,0.88372093,,FALSE,FALSE,FALSE,2021-02-21T16:01:58.735Z,2021-02-21T16:00:54.000Z,2021-03-13T14:16:49.269Z,9064b6be-ce95-11eb-b2ac-7c67a234f601
